MODEL	<->	SRP	<->	DISCOUNT	<->	BDO/RCBC	<->	ALL BANKS	<->	NMI
26MY TRITON GLS 2.4 2WD AT ( w/ Excise tax )	<->	1,959,000.00	<->	159,000.00	<->	49,000.00	<->	83,000.00	<->	40,803.00
26MY TRITON GX 2.4 2WD AT ( w/ Excise tax )	<->	1,430,000.00	<->	140,000.00	<->	23,000.00	<->	52,000.00	<->	29,785.00
24MY Triton Athlete 2.4 4WD AT ( w/ Excise tax )	<->	2,359,000.00	<->	220,000.00	<->	29,000.00	<->	65,000.00	<->	49,134.00
26MY L300 Cab/Chassis 2.2 MT	<->	829,000.00	<->	120,000.00	<->	0	<->	30,000.00	<->	17,267.00
26MY L300 Cab/Chassis 2.2 MT with Single AC	<->	873,000.00	<->	120,000.00	<->	0	<->	37,000.00	<->	18,183.00
26MY L300 FB Body No AC 2.2 MT	<->	972,640.00	<->	120,000.00	<->	6,000.00	<->	46,000.00	<->	20,259.00
26MY L300 FB Body Single AC 2.2 MT	<->	1,019,000.00	<->	120,000.00	<->	3,000.00	<->	50,000.00	<->	21,224.00
26MY L300 FB Body Dual AC 2.2 MT	<->	1,038,380.00	<->	120,000.00	<->	0	<->	49,000.00	<->	21,628.00
26MY L300 C-VAN No AC 2.2 MT	<->	976,000.00	<->	120,000.00	<->	5,000.00	<->	52,000.00	<->	20,329.00
26MY L300 C-VAN Single AC 2.2 MT	<->	1,015,000.00	<->	120,000.00	<->	9,000.00	<->	55,000.00	<->	21,141.00
26MY L300 DROPSIDE No AC 2.2 MT	<->	924,000.00	<->	120,000.00	<->	1,000.00	<->	45,000.00	<->	19,246.00
26MY L300 DROPSIDE Single AC 2.2 MT	<->	967,000.00	<->	120,000.00	<->	5,000.00	<->	50,000.00	<->	20,141.00
26MY L300 REF VAN BODY No AC 2.2 MT	<->	1,563,000.00	<->	140,000.00	<->	77,000.00	<->	112,000.00	<->	0
